backend,multiplier,ped_rate,veh_rate,controller,seed,ped_service_ratio,veh_service_ratio,max_norm_wait,ped_p95_wait_s,veh_p95_wait_s,veh_throughput_h,starvation_violations
surrogate,3.5,0.525,1.54,equal_bargaining,302,0.0,0.8984263233190272,9.0,858.0,131.0,5276.0,735
surrogate,3.5,0.525,1.54,equal_bargaining,303,0.0,0.9016511127063891,8.99,862.0,137.0,5244.0,647
surrogate,3.5,0.525,1.54,equal_bargaining,304,0.0,0.924597364568082,9.0,852.0,107.0,5252.0,518
surrogate,3.5,0.525,1.54,equal_bargaining,305,0.0,0.9062276306370795,8.99,863.0,125.0,5272.0,653
surrogate,3.5,0.525,1.54,efpb,301,0.9397089397089398,0.3644251626898048,8.99,52.0,813.0,2112.0,1095
surrogate,3.5,0.525,1.54,efpb,302,0.2556701030927835,0.642346208869814,6.67,635.0,554.0,3884.0,1039
surrogate,3.5,0.525,1.54,efpb,303,0.29653679653679654,0.6403445800430725,6.48,610.0,557.0,3788.0,1009
surrogate,3.5,0.525,1.54,efpb,304,0.3232104121475054,0.6288433382137628,6.31,602.0,568.0,3716.0,1027
surrogate,3.5,0.525,1.54,efpb,305,0.9452631578947368,0.3507516105941303,9.0,53.0,809.0,2112.0,1143
surrogate,4.0,0.6,1.76,fixed_time,301,0.40823970037453183,0.4219543147208122,5.41,515.0,502.0,3120.0,1865
surrogate,4.0,0.6,1.76,fixed_time,302,0.375886524822695,0.40883634100808963,5.73,547.0,527.0,3120.0,1900
surrogate,4.0,0.6,1.76,fixed_time,303,0.3927893738140417,0.42920353982300885,5.61,536.0,491.0,3120.0,1854
surrogate,4.0,0.6,1.76,fixed_time,304,0.36363636363636365,0.4207889793362555,5.93,555.0,510.0,3120.0,1906
surrogate,4.0,0.6,1.76,fixed_time,305,0.39497307001795334,0.4201892744479495,5.59,511.0,495.0,3120.0,1896
surrogate,4.0,0.6,1.76,efficiency,301,0.9588014981273408,0.2652284263959391,8.98,47.0,808.0,1792.0,1355
surrogate,4.0,0.6,1.76,efficiency,302,0.9592198581560284,0.22775357809583074,9.0,44.0,800.0,1664.0,1415
surrogate,4.0,0.6,1.76,efficiency,303,0.9563567362428842,0.26548672566371684,9.0,48.0,822.0,1840.0,1384
surrogate,4.0,0.6,1.76,efficiency,304,0.9654545454545455,0.23606762680025048,8.99,47.0,803.0,1704.0,1411
surrogate,4.0,0.6,1.76,efficiency,305,0.9605026929982047,0.23659305993690852,9.0,46.0,808.0,1696.0,1404
surrogate,4.0,0.6,1.76,equal_bargaining,301,0.0,0.833756345177665,8.97,848.0,235.0,5536.0,1089
surrogate,4.0,0.6,1.76,equal_bargaining,302,0.0,0.8039825762289982,9.0,863.0,256.0,5468.0,1302
surrogate,4.0,0.6,1.76,equal_bargaining,303,0.0,0.8394437420986094,8.99,858.0,206.0,5552.0,1076
surrogate,4.0,0.6,1.76,equal_bargaining,304,0.0,0.8209142141515341,9.0,852.0,234.0,5520.0,1254
surrogate,4.0,0.6,1.76,equal_bargaining,305,0.0,0.832807570977918,8.99,859.0,224.0,5560.0,1115
surrogate,4.0,0.6,1.76,efpb,301,0.951310861423221,0.2652284263959391,8.98,52.0,808.0,1816.0,1345
surrogate,4.0,0.6,1.76,efpb,302,0.9485815602836879,0.22277535780958307,9.0,53.0,800.0,1600.0,1423
surrogate,4.0,0.6,1.76,efpb,303,0.9316888045540797,0.27054361567635904,9.0,53.0,822.0,1856.0,1376
surrogate,4.0,0.6,1.76,efpb,304,0.17454545454545456,0.5823418910457107,7.48,722.0,663.0,4092.0,1188
surrogate,4.0,0.6,1.76,efpb,305,0.9443447037701975,0.2416403785488959,9.0,53.0,808.0,1728.0,1398
