config_id,controller,scenario_id,seed,person_delay_s,max_norm_wait,starvation_violations,ped_mean_wait_s,veh_mean_wait_s,phase_switches,clearance_share
equal_bargaining__007,equal_bargaining,K_SS,301,23.619622564935064,1.24,8.0,39.6551724137931,19.460132890365447,70.0,0.2088888888888889
equal_bargaining__008,equal_bargaining,K_SS,301,23.619622564935064,1.24,8.0,39.6551724137931,19.460132890365447,70.0,0.2088888888888889
equal_bargaining__000,equal_bargaining,K_SS,302,23.710808580858085,1.28,9.0,38.77,19.7972972972973,66.0,0.2
equal_bargaining__001,equal_bargaining,K_SS,302,24.005878712871286,1.28,9.0,40.415,19.741554054054053,66.0,0.20555555555555555
equal_bargaining__002,equal_bargaining,K_SS,302,24.005878712871286,1.28,9.0,40.415,19.741554054054053,66.0,0.20555555555555555
equal_bargaining__003,equal_bargaining,K_SS,302,23.710808580858085,1.28,9.0,38.77,19.7972972972973,66.0,0.2
equal_bargaining__004,equal_bargaining,K_SS,302,24.005878712871286,1.28,9.0,40.415,19.741554054054053,66.0,0.20555555555555555
equal_bargaining__005,equal_bargaining,K_SS,302,24.005878712871286,1.28,9.0,40.415,19.741554054054053,66.0,0.20555555555555555
equal_bargaining__006,equal_bargaining,K_SS,302,23.710808580858085,1.28,9.0,38.77,19.7972972972973,66.0,0.2
equal_bargaining__007,equal_bargaining,K_SS,302,24.005878712871286,1.28,9.0,40.415,19.741554054054053,66.0,0.20555555555555555
equal_bargaining__008,equal_bargaining,K_SS,302,24.005878712871286,1.28,9.0,40.415,19.741554054054053,66.0,0.20555555555555555
equal_bargaining__000,equal_bargaining,K_SS,303,19.947821576763488,0.93,0.0,25.152380952380952,18.498275862068965,72.0,0.2011111111111111
equal_bargaining__001,equal_bargaining,K_SS,303,20.482053941908713,0.93,0.0,29.33809523809524,18.01551724137931,70.0,0.2088888888888889
equal_bargaining__002,equal_bargaining,K_SS,303,20.482053941908713,0.93,0.0,29.33809523809524,18.01551724137931,70.0,0.2088888888888889
equal_bargaining__003,equal_bargaining,K_SS,303,19.947821576763488,0.93,0.0,25.152380952380952,18.498275862068965,72.0,0.2011111111111111
equal_bargaining__004,equal_bargaining,K_SS,303,20.482053941908713,0.93,0.0,29.33809523809524,18.01551724137931,70.0,0.2088888888888889
equal_bargaining__005,equal_bargaining,K_SS,303,20.482053941908713,0.93,0.0,29.33809523809524,18.01551724137931,70.0,0.2088888888888889
equal_bargaining__006,equal_bargaining,K_SS,303,19.947821576763488,0.93,0.0,25.152380952380952,18.498275862068965,72.0,0.2011111111111111
equal_bargaining__007,equal_bargaining,K_SS,303,20.482053941908713,0.93,0.0,29.33809523809524,18.01551724137931,70.0,0.2088888888888889
equal_bargaining__008,equal_bargaining,K_SS,303,20.482053941908713,0.93,0.0,29.33809523809524,18.01551724137931,70.0,0.2088888888888889
equal_bargaining__000,equal_bargaining,K_SS,304,24.066179375740813,1.35,15.0,44.473684210526315,18.75728155339806,70.0,0.21222222222222223
equal_bargaining__001,equal_bargaining,K_SS,304,26.867344922955354,1.42,27.0,48.00956937799043,21.367313915857604,68.0,0.2088888888888889
equal_bargaining__002,equal_bargaining,K_SS,304,26.867344922955354,1.42,27.0,48.00956937799043,21.367313915857604,68.0,0.2088888888888889
equal_bargaining__003,equal_bargaining,K_SS,304,24.066179375740813,1.35,15.0,44.473684210526315,18.75728155339806,70.0,0.21222222222222223
equal_bargaining__004,equal_bargaining,K_SS,304,26.867344922955354,1.42,27.0,48.00956937799043,21.367313915857604,68.0,0.2088888888888889
equal_bargaining__005,equal_bargaining,K_SS,304,26.867344922955354,1.42,27.0,48.00956937799043,21.367313915857604,68.0,0.2088888888888889
equal_bargaining__006,equal_bargaining,K_SS,304,24.066179375740813,1.35,15.0,44.473684210526315,18.75728155339806,70.0,0.21222222222222223
equal_bargaining__007,equal_bargaining,K_SS,304,26.867344922955354,1.42,27.0,48.00956937799043,21.367313915857604,68.0,0.2088888888888889
equal_bargaining__008,equal_bargaining,K_SS,304,26.867344922955354,1.42,27.0,48.00956937799043,21.367313915857604,68.0,0.2088888888888889
equal_bargaining__000,equal_bargaining,K_SS,305,27.522348444633188,1.64,19.0,54.50761421319797,20.38568935427574,64.0,0.21444444444444444
equal_bargaining__001,equal_bargaining,K_SS,305,25.420426796899886,1.64,17.0,45.81725888324873,20.026178010471206,67.0,0.21222222222222223
equal_bargaining__002,equal_bargaining,K_SS,305,25.420426796899886,1.64,17.0,45.81725888324873,20.026178010471206,67.0,0.21222222222222223
equal_bargaining__003,equal_bargaining,K_SS,305,27.522348444633188,1.64,19.0,54.50761421319797,20.38568935427574,64.0,0.21444444444444444
equal_bargaining__004,equal_bargaining,K_SS,305,25.420426796899886,1.64,17.0,45.81725888324873,20.026178010471206,67.0,0.21222222222222223
equal_bargaining__005,equal_bargaining,K_SS,305,25.420426796899886,1.64,17.0,45.81725888324873,20.026178010471206,67.0,0.21222222222222223
equal_bargaining__006,equal_bargaining,K_SS,305,27.522348444633188,1.64,19.0,54.50761421319797,20.38568935427574,64.0,0.21444444444444444
equal_bargaining__007,equal_bargaining,K_SS,305,25.420426796899886,1.64,17.0,45.81725888324873,20.026178010471206,67.0,0.21222222222222223
equal_bargaining__008,equal_bargaining,K_SS,305,25.420426796899886,1.64,17.0,45.81725888324873,20.026178010471206,67.0,0.21222222222222223
fixed_time__000,fixed_time,K_SS,301,23.0257711038961,0.97,0.0,47.3448275862069,16.717607973421927,68.0,0.15555555555555556
fixed_time__001,fixed_time,K_SS,301,33.21296672077922,1.84,80.0,97.47783251231527,16.543189368770765,61.0,0.14
