backend,group,scenario,controller,seed,person_delay_s,max_norm_wait,ped_mean_wait_s,veh_mean_wait_s,starvation_violations,ped_service_ratio,veh_service_ratio,jain
surrogate,nominal,C_LM,efficiency,1003,8.96637665397861,0.65,13.782608695652174,8.528277634961439,0,1.0,1.0,1.0
surrogate,nominal,C_LM,efficiency,1021,9.697201689545933,0.85,17.383838383838384,8.963659147869674,0,1.0,0.9924812030075187,0.9999857602597328
surrogate,nominal,C_LM,efficiency,1008,9.730463517013487,0.73,17.106382978723403,9.05449936628644,0,1.0,0.9974651457541192,0.9999983895514094
surrogate,nominal,C_LM,efficiency,1002,9.430918788713008,0.74,13.321428571428571,9.016089108910892,0,0.9910714285714286,0.9962871287128713,0.9999931123704475
surrogate,nominal,C_LM,efficiency,1010,9.632601136460012,0.58,15.509615384615385,9.064087061668681,0,0.9903846153846154,0.9963724304715841,0.9999909167076627
surrogate,nominal,C_LM,efficiency,1023,9.388499658236501,0.65,14.841121495327103,8.839853300733497,0,1.0,1.0,1.0
surrogate,nominal,C_LM,efficiency,1009,9.686562014835259,0.77,14.752293577981652,9.160891089108912,0,1.0,0.9987623762376238,0.9999996165976416
surrogate,nominal,C_LM,efficiency,1028,10.37360500507271,0.81,15.844444444444445,9.668734491315137,0,1.0,0.9925558312655087,0.9999860425732532
surrogate,nominal,C_LM,efficiency,1007,9.03366354797285,0.63,12.268292682926829,8.62231182795699,0,1.0,1.0,1.0
surrogate,nominal,C_LM,equal_bargaining,1006,10.235097296821344,0.55,7.7317073170731705,10.539152759948653,0,1.0,0.9974326059050064,0.9999983478857069
surrogate,nominal,C_LM,equal_bargaining,1019,9.422542549496352,0.51,6.8807339449541285,9.688279301745636,0,0.9908256880733946,0.9975062344139651,0.9999887113686949
surrogate,nominal,C_LM,equal_bargaining,1004,9.570104895104896,0.43,9.395604395604396,9.585185185185185,0,1.0,1.0,1.0
surrogate,nominal,C_LM,equal_bargaining,1029,9.094533131187013,0.55,7.669811320754717,9.243277848911651,0,1.0,0.9974391805377721,0.9999983563472118
surrogate,nominal,C_LM,equal_bargaining,1015,10.783468950749466,0.56,9.789473684210526,10.871515151515151,0,1.0,0.9987878787878788,0.9999996322450484
